case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary,rank_order
2,2,M,Other,91,Other,94,94,Assist,0,4743.0,1
3,2,M,Other,91,Other,94,95,Assist,0,4881.0,1
5,6,M,PhD,66,Other,91,91,Full,1,11182.0,3
6,6,M,PhD,66,Other,91,92,Full,1,11507.0,3
7,6,M,PhD,66,Other,91,93,Full,0,11840.0,3
8,6,M,PhD,66,Other,91,94,Full,0,11840.0,3
9,6,M,PhD,66,Other,91,95,Full,0,12184.0,3
10,7,M,PhD,70,Other,71,76,Assist,0,1730.0,1
11,7,M,PhD,70,Other,71,77,Assist,0,1851.0,1
12,7,M,PhD,70,Other,71,78,Assist,0,1981.0,1
13,7,M,PhD,70,Other,71,79,Assoc,0,2237.0,2
14,7,M,PhD,70,Other,71,80,Assoc,0,2410.0,2
15,7,M,PhD,70,Other,71,81,Assoc,0,2639.0,2
16,7,M,PhD,70,Other,71,82,Assoc,0,2639.0,2
17,7,M,PhD,70,Other,71,83,Assoc,0,2784.0,2
18,7,M,PhD,70,Other,71,84,Assoc,0,2973.0,2
19,7,M,PhD,70,Other,71,85,Assoc,0,2973.0,2
20,7,M,PhD,70,Other,71,86,Assoc,0,3063.0,2
21,7,M,PhD,70,Other,71,87,Assoc,0,3217.0,2
22,7,M,PhD,70,Other,71,88,Assoc,0,3406.0,2
23,7,M,PhD,70,Other,71,89,Assoc,0,3643.0,2
24,7,M,PhD,70,Other,71,90,Assoc,0,3814.0,2
25,7,M,PhD,70,Other,71,91,Assoc,0,3991.0,2
26,7,M,PhD,70,Other,71,92,Assoc,0,4165.0,2
27,7,M,PhD,70,Other,71,93,Assoc,0,4286.0,2
28,7,M,PhD,70,Other,71,94,Assoc,0,4286.0,2
29,7,M,PhD,70,Other,71,95,Assoc,0,4604.0,2
31,9,M,PhD,82,Other,87,87,Assist,0,4105.0,1
32,9,M,PhD,82,Other,87,88,Assist,0,4105.0,1
33,9,M,PhD,82,Other,87,89,Assist,0,4393.0,1
34,9,M,PhD,82,Other,87,90,Assoc,0,4800.0,2
