id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year
10,M,PhD,68,Arts,80,80,1,"(75, 80]",-4.300813008130078,93
13,M,PhD,68,Prof,69,76,1,"(75, 80]",-8.300813008130078,82
14,M,PhD,79,Other,92,92,1,"(90, 95]",7.699186991869922,94
16,M,PhD,73,Other,79,82,1,"(80, 85]",-2.3008130081300777,89
17,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83
18,M,PhD,67,Prof,69,76,1,"(75, 80]",-8.300813008130078,79
24,M,PhD,76,Prof,83,83,1,"(80, 85]",-1.3008130081300777,86
26,M,PhD,67,Other,71,76,1,"(75, 80]",-8.300813008130078,85
30,M,PhD,78,Other,87,87,1,"(85, 90]",2.6991869918699223,91
36,M,PhD,67,Prof,73,76,1,"(75, 80]",-8.300813008130078,88
46,M,PhD,77,Arts,87,89,1,"(85, 90]",4.699186991869922,93
47,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,84
49,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,87
58,F,PhD,74,Other,75,80,1,"(75, 80]",-4.300813008130078,84
61,M,PhD,76,Other,84,84,1,"(80, 85]",-0.3008130081300777,87
64,M,PhD,64,Other,65,76,1,"(75, 80]",-8.300813008130078,78
66,M,PhD,75,Prof,77,81,1,"(80, 85]",-3.3008130081300777,87
68,M,PhD,77,Other,83,83,1,"(80, 85]",-1.3008130081300777,89
74,M,PhD,71,Other,72,76,1,"(75, 80]",-8.300813008130078,82
75,M,PhD,72,Other,71,76,1,"(75, 80]",-8.300813008130078,83
82,M,PhD,65,Other,69,76,1,"(75, 80]",-8.300813008130078,78
84,M,PhD,82,Arts,83,89,1,"(85, 90]",4.699186991869922,95
94,M,PhD,64,Prof,58,76,1,"(75, 80]",-8.300813008130078,77
100,M,PhD,74,Arts,75,80,1,"(75, 80]",-4.300813008130078,84
102,M,PhD,73,Other,72,78,1,"(75, 80]",-6.300813008130078,84
103,M,PhD,66,Prof,68,76,1,"(75, 80]",-8.300813008130078,79
105,M,PhD,63,Prof,79,79,1,"(75, 80]",-5.300813008130078,85
107,M,PhD,79,Other,81,81,1,"(80, 85]",-3.3008130081300777,84
110,M,PhD,68,Other,72,76,1,"(75, 80]",-8.300813008130078,77
111,M,PhD,81,Arts,84,90,1,"(85, 90]",5.699186991869922,95
112,F,PhD,65,Other,76,82,1,"(80, 85]",-2.3008130081300777,95
114,M,PhD,81,Other,83,86,1,"(85, 90]",1.6991869918699223,89
117,M,PhD,70,Other,75,76,1,"(75, 80]",-8.300813008130078,80
119,M,PhD,66,Other,70,76,1,"(75, 80]",-8.300813008130078,78
121,M,PhD,80,Other,87,87,1,"(85, 90]",2.6991869918699223,95
122,M,PhD,80,Other,83,88,1,"(85, 90]",3.6991869918699223,93
126,M,PhD,68,Other,71,77,1,"(75, 80]",-7.300813008130078,82
127,M,PhD,72,Prof,72,79,1,"(75, 80]",-5.300813008130078,86
