id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year,associate_year_before_promotion,salary_before_promotion,salary_at_promotion,salary_change_at_promotion
10,M,PhD,68,Arts,80,80,1,"(75, 80]",-4.300813008130078,93,92.0,6781.0,7180.0,399.0
13,M,PhD,68,Prof,69,76,1,"(75, 80]",-8.300813008130078,82,79.0,2540.0,3322.0,782.0
14,M,PhD,79,Other,92,92,1,"(90, 95]",7.699186991869922,94,93.0,8770.0,9025.0,255.0
16,M,PhD,73,Other,79,82,1,"(80, 85]",-2.3008130081300777,89,88.0,4538.0,5290.0,752.0
17,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,,,2994.0,
18,M,PhD,67,Prof,69,76,1,"(75, 80]",-8.300813008130078,79,77.0,1915.0,2610.0,695.0
24,M,PhD,76,Prof,83,83,1,"(80, 85]",-1.3008130081300777,86,,,5354.0,
26,M,PhD,67,Other,71,76,1,"(75, 80]",-8.300813008130078,85,,,3586.0,
30,M,PhD,78,Other,87,87,1,"(85, 90]",2.6991869918699223,91,87.0,3873.0,5624.0,1751.0
36,M,PhD,67,Prof,73,76,1,"(75, 80]",-8.300813008130078,88,78.0,2501.333,4603.0,2101.667
46,M,PhD,77,Arts,87,89,1,"(85, 90]",4.699186991869922,93,88.0,3361.0,5242.0,1881.0
47,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,84,83.0,3125.0,3586.0,461.0
49,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,87,86.0,3537.0,3822.0,285.0
58,F,PhD,74,Other,75,80,1,"(75, 80]",-4.300813008130078,84,79.0,2196.0,3962.0,1766.0
61,M,PhD,76,Other,84,84,1,"(80, 85]",-0.3008130081300777,87,,,4736.0,
64,M,PhD,64,Other,65,76,1,"(75, 80]",-8.300813008130078,78,76.0,2196.0,3156.0,960.0
66,M,PhD,75,Prof,77,81,1,"(80, 85]",-3.3008130081300777,87,,,5543.0,
68,M,PhD,77,Other,83,83,1,"(80, 85]",-1.3008130081300777,89,84.0,3852.0,6649.0,2797.0
74,M,PhD,71,Other,72,76,1,"(75, 80]",-8.300813008130078,82,80.0,2507.0,3005.0,498.0
75,M,PhD,72,Other,71,76,1,"(75, 80]",-8.300813008130078,83,,,4468.0,
82,M,PhD,65,Other,69,76,1,"(75, 80]",-8.300813008130078,78,77.0,2216.0,2419.0,203.0
84,M,PhD,82,Arts,83,89,1,"(85, 90]",4.699186991869922,95,94.0,5318.0,5712.0,394.0
94,M,PhD,64,Prof,58,76,1,"(75, 80]",-8.300813008130078,77,,,2256.0,
100,M,PhD,74,Arts,75,80,1,"(75, 80]",-4.300813008130078,84,,,3337.0,
102,M,PhD,73,Other,72,78,1,"(75, 80]",-6.300813008130078,84,83.0,4101.0,4771.0,670.0
103,M,PhD,66,Prof,68,76,1,"(75, 80]",-8.300813008130078,79,,,2695.0,
105,M,PhD,63,Prof,79,79,1,"(75, 80]",-5.300813008130078,85,,,3381.0,
107,M,PhD,79,Other,81,81,1,"(80, 85]",-3.3008130081300777,84,,,4704.0,
110,M,PhD,68,Other,72,76,1,"(75, 80]",-8.300813008130078,77,,,2378.0,
111,M,PhD,81,Arts,84,90,1,"(85, 90]",5.699186991869922,95,94.0,4353.0,4812.0,459.0
112,F,PhD,65,Other,76,82,1,"(80, 85]",-2.3008130081300777,95,94.0,4881.0,5168.0,287.0
114,M,PhD,81,Other,83,86,1,"(85, 90]",1.6991869918699223,89,83.0,2595.0,5043.284,2448.2839999999997
117,M,PhD,70,Other,75,76,1,"(75, 80]",-8.300813008130078,80,,,2597.0,
119,M,PhD,66,Other,70,76,1,"(75, 80]",-8.300813008130078,78,77.0,2888.0,3111.0,223.0
121,M,PhD,80,Other,87,87,1,"(85, 90]",2.6991869918699223,95,,,4881.0,
122,M,PhD,80,Other,83,88,1,"(85, 90]",3.6991869918699223,93,92.0,5311.0,5705.0,394.0
126,M,PhD,68,Other,71,77,1,"(75, 80]",-7.300813008130078,82,79.0,2243.0,2838.0,595.0
127,M,PhD,72,Prof,72,79,1,"(75, 80]",-5.300813008130078,86,85.0,4101.0,5354.0,1253.0
128,M,PhD,75,Other,78,83,1,"(80, 85]",-1.3008130081300777,94,93.0,4231.0,4676.0,445.0
130,M,PhD,77,Prof,85,85,1,"(80, 85]",0.6991869918699223,90,,,6297.0,
131,M,PhD,78,Other,84,84,1,"(80, 85]",-0.3008130081300777,91,90.0,6668.0,8402.0,1734.0
133,M,PhD,82,Other,84,89,1,"(85, 90]",4.699186991869922,92,91.0,5168.0,5794.0,626.0
134,M,PhD,69,Prof,75,78,1,"(75, 80]",-6.300813008130078,89,88.0,5087.0,5601.0,514.0
136,F,PhD,73,Arts,77,83,1,"(80, 85]",-1.3008130081300777,89,85.0,2851.0,4269.333,1418.3329999999996
137,M,PhD,80,Other,88,88,1,"(85, 90]",3.6991869918699223,92,91.0,5095.0,5472.0,377.0
142,M,PhD,73,Arts,77,84,1,"(80, 85]",-0.3008130081300777,93,92.0,4416.0,4743.0,327.0
146,F,PhD,67,Other,57,76,1,"(75, 80]",-8.300813008130078,81,77.0,2256.0,3048.0,792.0
147,F,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,79,,,2805.0,
148,F,PhD,82,Arts,83,87,1,"(85, 90]",2.6991869918699223,93,92.0,4881.0,6404.0,1523.0
150,M,PhD,81,Arts,87,87,1,"(85, 90]",2.6991869918699223,90,89.0,5682.0,5947.0,265.0
155,M,PhD,77,Other,90,90,1,"(85, 90]",5.699186991869922,95,94.0,5095.0,5712.0,617.0
156,F,PhD,74,Other,76,83,1,"(80, 85]",-1.3008130081300777,91,90.0,4869.0,5318.0,449.0
159,M,PhD,70,Other,67,76,1,"(75, 80]",-8.300813008130078,80,,,3309.0,
162,M,PhD,77,Other,81,84,1,"(80, 85]",-0.3008130081300777,88,86.0,3487.0,4047.0,560.0
163,M,PhD,80,Arts,83,87,1,"(85, 90]",2.6991869918699223,90,,,6120.0,
164,M,PhD,74,Arts,70,78,1,"(75, 80]",-6.300813008130078,89,84.0,3020.0,4330.0,1310.0
165,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,83,,,2952.0,
172,M,PhD,73,Other,74,76,1,"(75, 80]",-8.300813008130078,80,79.0,2411.0,2824.0,413.0
173,F,PhD,82,Arts,82,88,1,"(85, 90]",3.6991869918699223,95,94.0,4480.0,4812.0,332.0
179,M,PhD,85,Prof,85,90,1,"(85, 90]",5.699186991869922,95,85.0,3962.0,6781.0,2819.0
180,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,82,,,3005.0,
181,M,PhD,70,Prof,73,79,1,"(75, 80]",-5.300813008130078,85,,,3845.0,
185,M,PhD,72,Prof,81,86,1,"(85, 90]",1.6991869918699223,95,89.0,4264.0,7078.0,2814.0
189,M,PhD,72,Other,75,76,1,"(75, 80]",-8.300813008130078,80,79.0,2986.0,3250.0,264.0
191,M,PhD,71,Other,72,80,1,"(75, 80]",-4.300813008130078,87,84.0,3837.0,4281.0,444.0
194,M,PhD,72,Arts,76,79,1,"(75, 80]",-5.300813008130078,88,81.0,2532.0,3877.0,1345.0
201,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81,,,2920.0,
203,M,PhD,75,Other,84,84,1,"(80, 85]",-0.3008130081300777,86,85.0,4468.0,6488.0,2020.0
206,M,PhD,78,Other,81,86,1,"(85, 90]",1.6991869918699223,95,94.0,4951.0,5472.0,521.0
207,M,PhD,71,Prof,84,84,1,"(80, 85]",-0.3008130081300777,87,,,5464.0,
211,M,PhD,65,Prof,75,76,1,"(75, 80]",-8.300813008130078,90,89.0,4996.0,5305.0,309.0
214,M,PhD,71,Arts,71,76,1,"(75, 80]",-8.300813008130078,81,80.0,2420.0,2879.0,459.0
220,F,PhD,73,Other,73,80,1,"(75, 80]",-4.300813008130078,85,,,2931.0,
225,M,PhD,74,Other,79,81,1,"(80, 85]",-3.3008130081300777,86,,,3909.0,
228,M,PhD,72,Other,75,80,1,"(75, 80]",-4.300813008130078,85,79.0,1944.0,3636.0,1692.0
233,M,PhD,71,Prof,76,76,1,"(75, 80]",-8.300813008130078,81,,,3307.463,
236,F,PhD,72,Other,74,81,1,"(80, 85]",-3.3008130081300777,86,85.0,3020.0,3745.0,725.0
239,M,PhD,70,Other,78,82,1,"(80, 85]",-2.3008130081300777,93,86.0,4353.0,6223.0,1870.0
243,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,92,91.0,6313.0,6684.0,371.0
244,M,PhD,64,Other,67,76,1,"(75, 80]",-8.300813008130078,79,78.0,2628.0,3032.0,404.0
246,M,PhD,73,Other,75,78,1,"(75, 80]",-6.300813008130078,83,,,3357.0,
247,M,PhD,75,Arts,81,85,1,"(80, 85]",0.6991869918699223,92,90.0,5229.0,5631.0,402.0
250,F,PhD,70,Arts,73,76,1,"(75, 80]",-8.300813008130078,81,80.0,2732.0,3112.0,380.0
252,M,PhD,84,Prof,84,89,1,"(85, 90]",4.699186991869922,94,,,7078.0,
256,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,83,82.0,2962.0,3310.0,348.0
