id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year,salary_at_promotion
10,M,PhD,68,Arts,80,80,1,"(75, 80]",-4.300813008130078,93,7180.0
13,M,PhD,68,Prof,69,76,1,"(75, 80]",-8.300813008130078,82,3322.0
14,M,PhD,79,Other,92,92,1,"(90, 95]",7.699186991869922,94,9025.0
16,M,PhD,73,Other,79,82,1,"(80, 85]",-2.3008130081300777,89,5290.0
17,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,2994.0
18,M,PhD,67,Prof,69,76,1,"(75, 80]",-8.300813008130078,79,2610.0
24,M,PhD,76,Prof,83,83,1,"(80, 85]",-1.3008130081300777,86,5354.0
26,M,PhD,67,Other,71,76,1,"(75, 80]",-8.300813008130078,85,3586.0
30,M,PhD,78,Other,87,87,1,"(85, 90]",2.6991869918699223,91,5624.0
36,M,PhD,67,Prof,73,76,1,"(75, 80]",-8.300813008130078,88,4603.0
46,M,PhD,77,Arts,87,89,1,"(85, 90]",4.699186991869922,93,5242.0
47,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,84,3586.0
49,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,87,3822.0
58,F,PhD,74,Other,75,80,1,"(75, 80]",-4.300813008130078,84,3962.0
61,M,PhD,76,Other,84,84,1,"(80, 85]",-0.3008130081300777,87,4736.0
64,M,PhD,64,Other,65,76,1,"(75, 80]",-8.300813008130078,78,3156.0
66,M,PhD,75,Prof,77,81,1,"(80, 85]",-3.3008130081300777,87,5543.0
68,M,PhD,77,Other,83,83,1,"(80, 85]",-1.3008130081300777,89,6649.0
74,M,PhD,71,Other,72,76,1,"(75, 80]",-8.300813008130078,82,3005.0
75,M,PhD,72,Other,71,76,1,"(75, 80]",-8.300813008130078,83,4468.0
82,M,PhD,65,Other,69,76,1,"(75, 80]",-8.300813008130078,78,2419.0
84,M,PhD,82,Arts,83,89,1,"(85, 90]",4.699186991869922,95,5712.0
94,M,PhD,64,Prof,58,76,1,"(75, 80]",-8.300813008130078,77,2256.0
100,M,PhD,74,Arts,75,80,1,"(75, 80]",-4.300813008130078,84,3337.0
102,M,PhD,73,Other,72,78,1,"(75, 80]",-6.300813008130078,84,4771.0
103,M,PhD,66,Prof,68,76,1,"(75, 80]",-8.300813008130078,79,2695.0
105,M,PhD,63,Prof,79,79,1,"(75, 80]",-5.300813008130078,85,3381.0
107,M,PhD,79,Other,81,81,1,"(80, 85]",-3.3008130081300777,84,4704.0
110,M,PhD,68,Other,72,76,1,"(75, 80]",-8.300813008130078,77,2378.0
111,M,PhD,81,Arts,84,90,1,"(85, 90]",5.699186991869922,95,4812.0
112,F,PhD,65,Other,76,82,1,"(80, 85]",-2.3008130081300777,95,5168.0
114,M,PhD,81,Other,83,86,1,"(85, 90]",1.6991869918699223,89,5043.284
117,M,PhD,70,Other,75,76,1,"(75, 80]",-8.300813008130078,80,2597.0
119,M,PhD,66,Other,70,76,1,"(75, 80]",-8.300813008130078,78,3111.0
121,M,PhD,80,Other,87,87,1,"(85, 90]",2.6991869918699223,95,4881.0
122,M,PhD,80,Other,83,88,1,"(85, 90]",3.6991869918699223,93,5705.0
126,M,PhD,68,Other,71,77,1,"(75, 80]",-7.300813008130078,82,2838.0
127,M,PhD,72,Prof,72,79,1,"(75, 80]",-5.300813008130078,86,5354.0
128,M,PhD,75,Other,78,83,1,"(80, 85]",-1.3008130081300777,94,4676.0
130,M,PhD,77,Prof,85,85,1,"(80, 85]",0.6991869918699223,90,6297.0
131,M,PhD,78,Other,84,84,1,"(80, 85]",-0.3008130081300777,91,8402.0
133,M,PhD,82,Other,84,89,1,"(85, 90]",4.699186991869922,92,5794.0
134,M,PhD,69,Prof,75,78,1,"(75, 80]",-6.300813008130078,89,5601.0
136,F,PhD,73,Arts,77,83,1,"(80, 85]",-1.3008130081300777,89,4269.333
137,M,PhD,80,Other,88,88,1,"(85, 90]",3.6991869918699223,92,5472.0
142,M,PhD,73,Arts,77,84,1,"(80, 85]",-0.3008130081300777,93,4743.0
146,F,PhD,67,Other,57,76,1,"(75, 80]",-8.300813008130078,81,3048.0
147,F,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,79,2805.0
148,F,PhD,82,Arts,83,87,1,"(85, 90]",2.6991869918699223,93,6404.0
150,M,PhD,81,Arts,87,87,1,"(85, 90]",2.6991869918699223,90,5947.0
155,M,PhD,77,Other,90,90,1,"(85, 90]",5.699186991869922,95,5712.0
156,F,PhD,74,Other,76,83,1,"(80, 85]",-1.3008130081300777,91,5318.0
159,M,PhD,70,Other,67,76,1,"(75, 80]",-8.300813008130078,80,3309.0
162,M,PhD,77,Other,81,84,1,"(80, 85]",-0.3008130081300777,88,4047.0
163,M,PhD,80,Arts,83,87,1,"(85, 90]",2.6991869918699223,90,6120.0
164,M,PhD,74,Arts,70,78,1,"(75, 80]",-6.300813008130078,89,4330.0
165,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,83,2952.0
172,M,PhD,73,Other,74,76,1,"(75, 80]",-8.300813008130078,80,2824.0
173,F,PhD,82,Arts,82,88,1,"(85, 90]",3.6991869918699223,95,4812.0
179,M,PhD,85,Prof,85,90,1,"(85, 90]",5.699186991869922,95,6781.0
180,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,82,3005.0
181,M,PhD,70,Prof,73,79,1,"(75, 80]",-5.300813008130078,85,3845.0
185,M,PhD,72,Prof,81,86,1,"(85, 90]",1.6991869918699223,95,7078.0
189,M,PhD,72,Other,75,76,1,"(75, 80]",-8.300813008130078,80,3250.0
191,M,PhD,71,Other,72,80,1,"(75, 80]",-4.300813008130078,87,4281.0
194,M,PhD,72,Arts,76,79,1,"(75, 80]",-5.300813008130078,88,3877.0
201,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81,2920.0
203,M,PhD,75,Other,84,84,1,"(80, 85]",-0.3008130081300777,86,6488.0
206,M,PhD,78,Other,81,86,1,"(85, 90]",1.6991869918699223,95,5472.0
207,M,PhD,71,Prof,84,84,1,"(80, 85]",-0.3008130081300777,87,5464.0
211,M,PhD,65,Prof,75,76,1,"(75, 80]",-8.300813008130078,90,5305.0
214,M,PhD,71,Arts,71,76,1,"(75, 80]",-8.300813008130078,81,2879.0
