case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary,first_associate_year,promotion_year
40,10,M,PhD,68,Arts,80,80,Assoc,0,3250.0,80,93
41,10,M,PhD,68,Arts,80,81,Assoc,0,3671.0,80,93
42,10,M,PhD,68,Arts,80,82,Assoc,0,3831.0,80,93
43,10,M,PhD,68,Arts,80,83,Assoc,0,4042.0,80,93
44,10,M,PhD,68,Arts,80,84,Assoc,0,4317.0,80,93
45,10,M,PhD,68,Arts,80,85,Assoc,0,4317.0,80,93
46,10,M,PhD,68,Arts,80,86,Assoc,0,4708.0,80,93
47,10,M,PhD,68,Arts,80,87,Assoc,0,4944.0,80,93
48,10,M,PhD,68,Arts,80,88,Assoc,0,5015.0,80,93
49,10,M,PhD,68,Arts,80,89,Assoc,1,5846.0,80,93
50,10,M,PhD,68,Arts,80,90,Assoc,1,6120.0,80,93
51,10,M,PhD,68,Arts,80,91,Assoc,1,6590.0,80,93
52,10,M,PhD,68,Arts,80,92,Assoc,1,6781.0,80,93
53,10,M,PhD,68,Arts,80,93,Full,1,7180.0,80,93
54,10,M,PhD,68,Arts,80,94,Full,0,7180.0,80,93
55,10,M,PhD,68,Arts,80,95,Full,0,7494.0,80,93
76,13,M,PhD,68,Prof,69,76,Assoc,0,1875.0,76,82
77,13,M,PhD,68,Prof,69,77,Assoc,0,2136.0,76,82
78,13,M,PhD,68,Prof,69,78,Assoc,0,2256.0,76,82
79,13,M,PhD,68,Prof,69,79,Assoc,0,2540.0,76,82
80,13,M,PhD,68,Prof,69,80,Assoc,0,2824.0,76,82
81,13,M,PhD,68,Prof,69,81,Assoc,0,3137.0,76,82
82,13,M,PhD,68,Prof,69,82,Full,0,3322.0,76,82
83,13,M,PhD,68,Prof,69,83,Full,0,3505.0,76,82
84,13,M,PhD,68,Prof,69,84,Full,0,3742.0,76,82
85,13,M,PhD,68,Prof,69,85,Full,0,3742.0,76,82
86,13,M,PhD,68,Prof,69,86,Full,0,4641.0,76,82
87,13,M,PhD,68,Prof,69,87,Full,0,4874.0,76,82
88,13,M,PhD,68,Prof,69,88,Full,0,6675.0,76,82
89,13,M,PhD,68,Prof,69,89,Full,0,7142.0,76,82
90,13,M,PhD,68,Prof,69,90,Full,0,7475.0,76,82
91,13,M,PhD,68,Prof,69,91,Full,0,7935.0,76,82
92,13,M,PhD,68,Prof,69,92,Full,0,8165.0,76,82
93,13,M,PhD,68,Prof,69,93,Full,0,8402.0,76,82
94,13,M,PhD,68,Prof,69,94,Full,0,8402.0,76,82
95,13,M,PhD,68,Prof,69,95,Full,0,8770.0,76,82
96,14,M,PhD,79,Other,92,92,Assoc,0,8646.0,92,94
